serial_number,item_name,item_alias,part_number,model,remarks,stock_group,product_name,brand,category_id,subcategory_id,price,min_stock,current_stock,image_link
SN016,12x8 Reduser Tee,IR-00078,PN016,Model 16,Remark 16,Group 2,Reduser Tee,Brand 2,4,27,150.00,25,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN017,16mm C Stake,IR0131,PN017,Model 17,Remark 17,Group 2,C Stake,Brand 2,4,28,160.00,20,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN018,16mm Drill Bit Neta Type SDI,IR00086,PN018,Model 18,Remark 18,Group 2,Drill Bit Neta Type SDI,Brand 2,4,28,170.00,15,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN019,Air Bleed Milk Claw (DL),666612,PN019,Model 19,Remark 19,Group 3,Air Bleed Milk Claw,Brand 3,2,26,50.00,200,200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN020,Air Pulsator AP 19 (DL),666629,PN020,Model 20,Remark 20,Group 3,Air Pulsator AP 19,Brand 3,2,25,60.00,180,180,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN021,AP 19 Pulsator Lid,666677,PN021,Model 21,Remark 21,Group 3,AP 19 Pulsator Lid,Brand 3,2,25,70.00,160,160,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN022,Bio Foam 1 Ltr (DL),666111,PN022,Model 22,Remark 22,Group 3,Bio Foam 1 Ltr,Brand 3,2,25,80.00,140,140,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN023,Biofoam Plus 10 L (DL),666112,PN023,Model 23,Remark 23,Group 3,Biofoam Plus 10 L,Brand 3,2,25,90.00,120,120,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN024,BMS DVP 170 1ph (Mc11, Ap19, Bucket 25L)-Delaval,666113,PN024,Model 24,Remark 24,Group 3,BMS DVP 170 1ph,Brand 3,2,25,100.00,100,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN025,BMS DVP 340 (2 BMM, 1ph 50hz)- Delaval,666114,PN025,Model 25,Remark 25,Group 3,BMS DVP 340,Brand 3,2,25,110.00,80,80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN026,Bottle Kit for Lubricator (DL),666636,PN026,Model 26,Remark 26,Group 3,Bottle Kit for Lubricator,Brand 3,2,25,120.00,60,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN027,Bowl Complete MC 11 (DL),666617,PN027,Model 27,Remark 27,Group 3,Bowl Complete MC 11,Brand 3,2,25,130.00,40,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN028,Bowl Milk Claw MC 11 (DL),666616,PN028,Model 28,Remark 28,Group 3,Bowl Milk Claw MC 11,Brand 3,2,26,140.00,20,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN029,Anti Kick Bar Melasty,666294,PN029,Model 29,Remark 29,Group 4,Anti Kick Bar Melasty,Brand 4,4,28,1900.00,5,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN030,Brush Red Long Melasty,666284,PN030,Model 30,Remark 30,Group 4,Brush Red Long Melasty,Brand 4,4,28,306.00,6,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN031,Brush Set Melasty (SA),666798,PN031,Model 31,Remark 31,Group 4,Brush Set Melasty,Brand 4,4,28,221.00,10,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN032,Bucket Milking Machine 25 Ltr. SA,666797,PN032,Model 32,Remark 32,Group 4,Bucket Milking Machine 25 Ltr.,Brand 4,4,28,25000.00,2,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN033,Butter Churing Machine 25 Ltr Melasty,666922,PN033,Model 33,Remark 33,Group 4,Butter Churing Machine 25 Ltr,Brand 4,4,28,23136.00,3,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN034,Butter Churing Machine 40Ltr Melasty,666923,PN034,Model 34,Remark 34,Group 4,Butter Churing Machine 40Ltr,Brand 4,4,28,30500.00,4,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN035,Butter Churner 20 Ltr Melasty,666492,PN035,Model 35,Remark 35,Group 4,Butter Churner 20 Ltr,Brand 4,4,28,25990.00,5,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN036,Calf Feeding Bottle 0.5 Ltr (SA),666903,PN036,Model 36,Remark 36,Group 4,Calf Feeding Bottle 0.5 Ltr,Brand 4,4,28,195.00,20,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN037,Compressor Bush TJK IPS Melasty,666285,PN037,Model 37,Remark 37,Group 4,Compressor Bush TJK IPS,Brand 4,4,28,395.00,15,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN038,Discharge Pluge Melasty,666733,PN038,Model 38,Remark 38,Group 4,Discharge Pluge Melasty,Brand 4,4,28,248.00,18,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN039,Ear Tag Applicater Melasty,666320,PN039,Model 39,Remark 39,Group 4,Ear Tag Applicater Melasty,Brand 4,4,28,1780.00,7,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN040,Ear Tag Melasty (SA),666254,PN040,Model 40,Remark 40,Group 4,Ear Tag Melasty,Brand 4,4,28,36.00,50,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN041,Product 41,Alias 41,PN041,Model 41,Remark 41,Group 5,Product 41,Brand 5,5,9,500.00,10,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN042,Product 42,Alias 42,PN042,Model 42,Remark 42,Group 5,Product 42,Brand 5,5,9,550.00,12,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN043,Product 43,Alias 43,PN043,Model 43,Remark 43,Group 5,Product 43,Brand 5,5,9,600.00,15,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN044,Product 44,Alias 44,PN044,Model 44,Remark 44,Group 5,Product 44,Brand 5,5,9,650.00,18,35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN045,Product 45,Alias 45,PN045,Model 45,Remark 45,Group 5,Product 45,Brand 5,5,9,700.00,20,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN046,Product 46,Alias 46,PN046,Model 46,Remark 46,Group 5,Product 46,Brand 5,5,9,750.00,22,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN047,Product 47,Alias 47,PN047,Model 47,Remark 47,Group 5,Product 47,Brand 5,5,9,800.00,25,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN048,Product 48,Alias 48,PN048,Model 48,Remark 48,Group 5,Product 48,Brand 5,5,9,850.00,28,55,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN049,Product 49,Alias 49,PN049,Model 49,Remark 49,Group 5,Product 49,Brand 5,5,9,900.00,30,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
SN050,Product 50,Alias 50,PN050,Model 50,Remark 50,Group 5,Product 50,Brand 5,5,9,950.00,35,65,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTid24zi2YN-97RLKJ0TGcJ0AP7Myohv9t4MA&s
